omitted_training_circuit_id,evaluation_scope,cell_id,circuit_id,topology_id,profile_index,selected_path_id,greedy_path_id,selected_rank,greedy_median_s,selected_median_s,oracle_median_s,speedup_vs_greedy,speedup_vs_oracle
ghz_chain_18q,held_out,ghz_chain_18q:4dpu_t8,ghz_chain_18q,4dpu_t8,9,9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0,0f1afe2ce698cbfcd1496d867ba787cb5cdd487ef3b05e9bb140d58eee826743,1,3.3269136039998557,0.8961054019964649,0.8961054019964649,3.7126364784630326,1.0
hs_18q_d1,fit,edc_18q:1dpu_t8,edc_18q,1dpu_t8,8,cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e,b0785992b23ca97113b8ab448921ffe2b5e832f50994281719e731d54a839f9a,1,5.963621458002308,1.2287924970005406,1.2287924970005406,4.853237200389322,1.0
hs_18q_d1,fit,edc_18q:4dpu_t8,edc_18q,4dpu_t8,8,cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e,b0785992b23ca97113b8ab448921ffe2b5e832f50994281719e731d54a839f9a,1,3.386135156000819,0.9014161699997203,0.9014161699997203,3.7564615198791804,1.0
hs_18q_d1,fit,ghz_chain_18q:1dpu_t8,ghz_chain_18q,1dpu_t8,8,9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0,0f1afe2ce698cbfcd1496d867ba787cb5cdd487ef3b05e9bb140d58eee826743,1,5.9233692469970265,1.213135013000283,1.213135013000283,4.882695811694989,1.0
hs_18q_d1,fit,ghz_chain_18q:4dpu_t8,ghz_chain_18q,4dpu_t8,8,9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0,0f1afe2ce698cbfcd1496d867ba787cb5cdd487ef3b05e9bb140d58eee826743,1,3.3269136039998557,0.8961054019964649,0.8961054019964649,3.7126364784630326,1.0
hs_18q_d1,fit,quantization_stress_18q_l2:1dpu_t8,quantization_stress_18q_l2,1dpu_t8,8,e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1,b9ba7e7f9f7faa942ecf55bc10c6f9a9488b0e3dcf87233bed822bea2416c816,2,6.71471425299751,4.7709353620011825,4.766350835001504,1.407420923468769,0.9990390716595758
hs_18q_d1,fit,quantization_stress_18q_l2:4dpu_t8,quantization_stress_18q_l2,4dpu_t8,8,e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1,b9ba7e7f9f7faa942ecf55bc10c6f9a9488b0e3dcf87233bed822bea2416c816,1,4.341384074999951,3.338684768998064,3.338684768998064,1.3003276365928957,1.0
hs_18q_d1,held_out,hs_18q_d1:1dpu_t8,hs_18q_d1,1dpu_t8,8,0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e,bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8,6,1.3739745780003432,1.406310622998717,1.3739745780003432,0.977006470356156,0.977006470356156
hs_18q_d1,held_out,hs_18q_d1:4dpu_t8,hs_18q_d1,4dpu_t8,8,0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e,bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8,1,1.173196793999523,1.1543600510012766,1.1543600510012766,1.0163179096347865,1.0
quantization_stress_18q_l2,fit,edc_18q:1dpu_t8,edc_18q,1dpu_t8,4,cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e,b0785992b23ca97113b8ab448921ffe2b5e832f50994281719e731d54a839f9a,1,5.963621458002308,1.2287924970005406,1.2287924970005406,4.853237200389322,1.0
quantization_stress_18q_l2,fit,edc_18q:4dpu_t8,edc_18q,4dpu_t8,4,cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e,b0785992b23ca97113b8ab448921ffe2b5e832f50994281719e731d54a839f9a,1,3.386135156000819,0.9014161699997203,0.9014161699997203,3.7564615198791804,1.0
quantization_stress_18q_l2,fit,ghz_chain_18q:1dpu_t8,ghz_chain_18q,1dpu_t8,4,9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0,0f1afe2ce698cbfcd1496d867ba787cb5cdd487ef3b05e9bb140d58eee826743,1,5.9233692469970265,1.213135013000283,1.213135013000283,4.882695811694989,1.0
quantization_stress_18q_l2,fit,ghz_chain_18q:4dpu_t8,ghz_chain_18q,4dpu_t8,4,9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0,0f1afe2ce698cbfcd1496d867ba787cb5cdd487ef3b05e9bb140d58eee826743,1,3.3269136039998557,0.8961054019964649,0.8961054019964649,3.7126364784630326,1.0
quantization_stress_18q_l2,fit,hs_18q_d1:1dpu_t8,hs_18q_d1,1dpu_t8,4,bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8,bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8,1,1.3739745780003432,1.3739745780003432,1.3739745780003432,1.0,1.0
quantization_stress_18q_l2,fit,hs_18q_d1:4dpu_t8,hs_18q_d1,4dpu_t8,4,0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e,bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8,1,1.173196793999523,1.1543600510012766,1.1543600510012766,1.0163179096347865,1.0
quantization_stress_18q_l2,held_out,quantization_stress_18q_l2:1dpu_t8,quantization_stress_18q_l2,1dpu_t8,4,9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb,b9ba7e7f9f7faa942ecf55bc10c6f9a9488b0e3dcf87233bed822bea2416c816,1,6.71471425299751,4.766350835001504,4.766350835001504,1.4087746549599913,1.0
quantization_stress_18q_l2,held_out,quantization_stress_18q_l2:4dpu_t8,quantization_stress_18q_l2,4dpu_t8,4,9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb,b9ba7e7f9f7faa942ecf55bc10c6f9a9488b0e3dcf87233bed822bea2416c816,2,4.341384074999951,3.351342089001264,3.338684768998064,1.2954165703489047,0.9962232085931365
