split,attempt_type,cell_id,circuit_id,topology_id,candidate_path_id,plan_id,route_id,block,sample_index,order_index,sample_id,session_instance_id,experiment_id,run_id,source_sha,candidate_generation_source_sha,physical_execution_source_sha,candidate_set_sha256,calibration_set_sha256,problem_id,tensor_network_structure_id,logical_plan_id,physical_plan_id,executable_id,validation_policy_id,output_sha256,status,validation,fallback,max_abs_error,relative_l2_error,norm_drift,phase_aligned_max_abs_error,full_precision_passed,policy_reference_passed,timing_scope,total_wall_s,session_open_s,session_close_s,session_inclusive_s,kernel_s,h2d_s,d2h_s,h2d_bytes,d2h_bytes,preparation_s,planning_s,lowering_s,mapping_s,slicing_s,host_reduce_s,rank_work_s,request_build_s,request_wave_s,request_artifact_build_s,payload_record_staging_s,request_work_unit_materialization_s,request_payload_materialization_s,request_payload_hashing_s,request_payload_file_write_s,request_manifest_sidecar_staging_s,request_build_residual_s,request_payload_record_count,request_payload_bytes_staged,request_payload_bytes_hashed,request_payload_files_created,requested_dpus,allocated_dpus,active_dpus,tasklets_per_dpu,rank_count,active_rank_count,target_observed,request_transport,collection_resource_admission_passed,execution_resource_admission_passed,startup_resource_admission_passed,physical_target_verified,hardware_kernel_executed,simulator_kernel_executed,cpu_fallback_used,binary_identity_verified,native_identity_verified,hardware_release_verified,tasklet_utilization,dpu_utilization,dominant_wave_utilization,total_wave_count,fully_populated_wave_count,active_dpu_ids_json,active_rank_indices_json,requested_rank_paths_json
training,warmup,edc_18q:1dpu_t8,edc_18q,1dpu_t8,09eba679eeaacde57b3d14e532a34cfb89b93de888eb607ea84d8a211c4d2e29,path_09eba679eeaacde57b3d14e532a34cfb89b93de888eb607ea84d8a211c4d2e29,1dpu_t8,0,0,35,65aba6a4bf28acb20fc577a70dbd2d4518667eb0a4af320d3a84705cc483e444,70cc4e98-1216-4af3-8a11-203d557aaafb,424886cb45ecf2f43b304da76c7333b4720fb882066e04025593821f1eba1e04,8b6ebfbd-1c06-4fb1-b4bf-4d072212375d,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,d452106e697890439cfc94fdabfb6a80fb0fccc2,5269bfea2a1777b041e10edf9618ba613d44021ce89b3ff0d95093a81c095b65,ae9ef515059d52d7d85bbddc07c49cabd745c0f6e8e6aea4ffb9ca2d19553eb9,e6326a5da55f304b3234ce37519f34799d0f61696dfc2f64c315515bb2220775,d420d48630c4027c823141769690f9af747c700b7e4db288452d78e6c09bc1bd,c836878783242695028b9f3fdedf8ed9915a569f97c854f2a6f292e2de42d715,a0a1c54c57915bb75637bbcb85e2806bc25879d0f9d794983c4d258eb2b339c6,56dfa726e07260290a8d9bd5f9553bedef06c396ca7a2a1c14537ab134f1b661,42ef48b05a6df873c8625f632e53ce4fe584cf13f038f1c9ee6965bc3e739f7f,e7ea19cb04a7f80155352d849e3d8316e00f9ad70d1d12c4e534bd360491cd32,success,passed,false,1.2101617041793133e-08,1.7114270947149228e-08,1.7114270889351246e-08,1.2101617041793133e-08,True,True,steady_execution_v1,1.2709062860012637,0.1539901079995616,0.006468699997640215,1.4313650939984655,0.587732863,0.05599660399999999,0.11931077299999998,136800,4288128,0.012103496002964675,,,,,,,0.10149903600176913,1.2116987150111527,0.05968811597995227,0.02214885497960495,0.0035225190040364396,0.0029019410176260862,0.0012060469853167888,0.0,0.0004749349936901126,,,,,,1,1,1,8,1,1,physical_hardware,packed_operation_v1,True,True,True,True,True,False,False,True,True,True,0.9964836626707722,1.0,1.0,40,40,"[[0,0]]",[0],"[""/dev/dpu_rank1""]"
training,measurement,edc_18q:1dpu_t8,edc_18q,1dpu_t8,09eba679eeaacde57b3d14e532a34cfb89b93de888eb607ea84d8a211c4d2e29,path_09eba679eeaacde57b3d14e532a34cfb89b93de888eb607ea84d8a211c4d2e29,1dpu_t8,1,0,30,b9d24be6bd2dc8163c8e1448d894ed9757ddef9080d72c2c49b0a5b755963acc,b909501b-bc94-40d3-8a21-1ad20dab9ad1,424886cb45ecf2f43b304da76c7333b4720fb882066e04025593821f1eba1e04,8b6ebfbd-1c06-4fb1-b4bf-4d072212375d,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,d452106e697890439cfc94fdabfb6a80fb0fccc2,5269bfea2a1777b041e10edf9618ba613d44021ce89b3ff0d95093a81c095b65,ae9ef515059d52d7d85bbddc07c49cabd745c0f6e8e6aea4ffb9ca2d19553eb9,e6326a5da55f304b3234ce37519f34799d0f61696dfc2f64c315515bb2220775,d420d48630c4027c823141769690f9af747c700b7e4db288452d78e6c09bc1bd,c836878783242695028b9f3fdedf8ed9915a569f97c854f2a6f292e2de42d715,a0a1c54c57915bb75637bbcb85e2806bc25879d0f9d794983c4d258eb2b339c6,56dfa726e07260290a8d9bd5f9553bedef06c396ca7a2a1c14537ab134f1b661,42ef48b05a6df873c8625f632e53ce4fe584cf13f038f1c9ee6965bc3e739f7f,e7ea19cb04a7f80155352d849e3d8316e00f9ad70d1d12c4e534bd360491cd32,success,passed,false,1.2101617041793133e-08,1.7114270947149228e-08,1.7114270889351246e-08,1.2101617041793133e-08,True,True,steady_execution_v1,1.2706365829981223,0.15524218999780715,0.0050446370005374774,1.430923409996467,0.5894213620000001,0.05515260899999998,0.118689415,136800,4288128,0.011815272991952952,,,,,,,0.1002831560181221,1.2123792589991353,0.05893758299498586,0.02179963498201687,0.0034345870080869645,0.0028617930111067835,0.00118976999874576,0.0,0.00046635597391286865,,,,,,1,1,1,8,1,1,physical_hardware,packed_operation_v1,True,True,True,True,True,False,False,True,True,True,0.9964836626707722,1.0,1.0,40,40,"[[0,0]]",[0],"[""/dev/dpu_rank1""]"
training,measurement,edc_18q:1dpu_t8,edc_18q,1dpu_t8,09eba679eeaacde57b3d14e532a34cfb89b93de888eb607ea84d8a211c4d2e29,path_09eba679eeaacde57b3d14e532a34cfb89b93de888eb607ea84d8a211c4d2e29,1dpu_t8,2,1,4,4c599c236ad193b1077d6c8878e666b46de3aa811604f40fe7d27dfdf365b958,6c07fd6f-089b-4874-8a2e-00e41c029f11,424886cb45ecf2f43b304da76c7333b4720fb882066e04025593821f1eba1e04,8b6ebfbd-1c06-4fb1-b4bf-4d072212375d,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,d452106e697890439cfc94fdabfb6a80fb0fccc2,5269bfea2a1777b041e10edf9618ba613d44021ce89b3ff0d95093a81c095b65,ae9ef515059d52d7d85bbddc07c49cabd745c0f6e8e6aea4ffb9ca2d19553eb9,e6326a5da55f304b3234ce37519f34799d0f61696dfc2f64c315515bb2220775,d420d48630c4027c823141769690f9af747c700b7e4db288452d78e6c09bc1bd,c836878783242695028b9f3fdedf8ed9915a569f97c854f2a6f292e2de42d715,a0a1c54c57915bb75637bbcb85e2806bc25879d0f9d794983c4d258eb2b339c6,56dfa726e07260290a8d9bd5f9553bedef06c396ca7a2a1c14537ab134f1b661,42ef48b05a6df873c8625f632e53ce4fe584cf13f038f1c9ee6965bc3e739f7f,e7ea19cb04a7f80155352d849e3d8316e00f9ad70d1d12c4e534bd360491cd32,success,passed,false,1.2101617041793133e-08,1.7114270947149228e-08,1.7114270889351246e-08,1.2101617041793133e-08,True,True,steady_execution_v1,1.2939282229999662,0.15748071899724891,0.006462600998929702,1.4578715429961449,0.587572143,0.057030014999999996,0.12324044,136800,4288128,0.012488686988945119,,,,,,,0.10573858598218067,1.232467023000936,0.06275000598543556,0.02329867497610394,0.0037107399984961376,0.0030052749898459297,0.0014395669822988566,0.0,0.0004920030078210402,,,,,,1,1,1,8,1,1,physical_hardware,packed_operation_v1,True,True,True,True,True,False,False,True,True,True,0.9964836626707722,1.0,1.0,40,40,"[[0,0]]",[0],"[""/dev/dpu_rank1""]"
training,measurement,edc_18q:1dpu_t8,edc_18q,1dpu_t8,09eba679eeaacde57b3d14e532a34cfb89b93de888eb607ea84d8a211c4d2e29,path_09eba679eeaacde57b3d14e532a34cfb89b93de888eb607ea84d8a211c4d2e29,1dpu_t8,3,2,0,1a2c436c66d80edb802578a9a7c81dd5b47f8e35adc05f92c6f021c2f0374b74,70f62fe4-8b28-4646-969b-d3a206191c33,424886cb45ecf2f43b304da76c7333b4720fb882066e04025593821f1eba1e04,8b6ebfbd-1c06-4fb1-b4bf-4d072212375d,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,d452106e697890439cfc94fdabfb6a80fb0fccc2,5269bfea2a1777b041e10edf9618ba613d44021ce89b3ff0d95093a81c095b65,ae9ef515059d52d7d85bbddc07c49cabd745c0f6e8e6aea4ffb9ca2d19553eb9,e6326a5da55f304b3234ce37519f34799d0f61696dfc2f64c315515bb2220775,d420d48630c4027c823141769690f9af747c700b7e4db288452d78e6c09bc1bd,c836878783242695028b9f3fdedf8ed9915a569f97c854f2a6f292e2de42d715,a0a1c54c57915bb75637bbcb85e2806bc25879d0f9d794983c4d258eb2b339c6,56dfa726e07260290a8d9bd5f9553bedef06c396ca7a2a1c14537ab134f1b661,42ef48b05a6df873c8625f632e53ce4fe584cf13f038f1c9ee6965bc3e739f7f,e7ea19cb04a7f80155352d849e3d8316e00f9ad70d1d12c4e534bd360491cd32,success,passed,false,1.2101617041793133e-08,1.7114270947149228e-08,1.7114270889351246e-08,1.2101617041793133e-08,True,True,steady_execution_v1,1.295263519998116,0.16360138400341384,0.00565140400067321,1.464516308002203,0.5885709729999999,0.056388064,0.120188372,136800,4288128,0.012516953000158537,,,,,,,0.10570703698249417,1.2351189080218319,0.06204619000709499,0.02300736504548695,0.0036225039839337114,0.003035579022252932,0.001243546012119623,0.0,0.0004913040284009185,,,,,,1,1,1,8,1,1,physical_hardware,packed_operation_v1,True,True,True,True,True,False,False,True,True,True,0.9964836626707722,1.0,1.0,40,40,"[[0,0]]",[0],"[""/dev/dpu_rank1""]"
training,warmup,edc_18q:1dpu_t8,edc_18q,1dpu_t8,35308513a5e2881780ad0f4c9f36ff58b8f7e9e1ac95b1c3b567dbad46fa26bd,path_35308513a5e2881780ad0f4c9f36ff58b8f7e9e1ac95b1c3b567dbad46fa26bd,1dpu_t8,0,0,22,d0b05fbe0d53701abd807ed0b604015a2124940bcc18bc132f3f7b4e173758f3,5a6c3ae4-eeba-459b-a99e-cbcde8e87801,424886cb45ecf2f43b304da76c7333b4720fb882066e04025593821f1eba1e04,8b6ebfbd-1c06-4fb1-b4bf-4d072212375d,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,d452106e697890439cfc94fdabfb6a80fb0fccc2,5269bfea2a1777b041e10edf9618ba613d44021ce89b3ff0d95093a81c095b65,ae9ef515059d52d7d85bbddc07c49cabd745c0f6e8e6aea4ffb9ca2d19553eb9,e6326a5da55f304b3234ce37519f34799d0f61696dfc2f64c315515bb2220775,d420d48630c4027c823141769690f9af747c700b7e4db288452d78e6c09bc1bd,e6f79e638202cb8583ec9640176776fa6dc3ddfb1df661e925a5b064029c8652,9e422ab1f557e5274c8c5a288310b2a401518de6465f7bef63b547dfa34c645a,56dfa726e07260290a8d9bd5f9553bedef06c396ca7a2a1c14537ab134f1b661,42ef48b05a6df873c8625f632e53ce4fe584cf13f038f1c9ee6965bc3e739f7f,e7ea19cb04a7f80155352d849e3d8316e00f9ad70d1d12c4e534bd360491cd32,success,passed,false,1.2101617041793133e-08,1.7114270947149228e-08,1.7114270889351246e-08,1.2101617041793133e-08,True,True,steady_execution_v1,1.7562224240027717,0.4562625239996123,0.006798695001634769,2.219283643004019,0.7407405009999999,0.088785087,0.15335580999999998,380864,4532096,0.014935665007214993,,,,,,,0.16571448501417763,1.6886749209879781,0.11256823805888416,0.043084499055112246,0.006373145995894447,0.005303871013893513,0.002915959008532809,0.0,0.0009018080054374877,,,,,,1,1,1,8,1,1,physical_hardware,packed_operation_v1,True,True,True,True,True,False,False,True,True,True,0.9782850227871034,1.0,1.0,64,64,"[[0,0]]",[0],"[""/dev/dpu_rank1""]"
training,measurement,edc_18q:1dpu_t8,edc_18q,1dpu_t8,35308513a5e2881780ad0f4c9f36ff58b8f7e9e1ac95b1c3b567dbad46fa26bd,path_35308513a5e2881780ad0f4c9f36ff58b8f7e9e1ac95b1c3b567dbad46fa26bd,1dpu_t8,1,0,3,8bd7360314c727b572b66c4bc1e9f245f4d2cc6c991669fcee33ff5f532e1f55,95ed3e1d-4eaa-4526-9417-011b7a1fd12d,424886cb45ecf2f43b304da76c7333b4720fb882066e04025593821f1eba1e04,8b6ebfbd-1c06-4fb1-b4bf-4d072212375d,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,d452106e697890439cfc94fdabfb6a80fb0fccc2,5269bfea2a1777b041e10edf9618ba613d44021ce89b3ff0d95093a81c095b65,ae9ef515059d52d7d85bbddc07c49cabd745c0f6e8e6aea4ffb9ca2d19553eb9,e6326a5da55f304b3234ce37519f34799d0f61696dfc2f64c315515bb2220775,d420d48630c4027c823141769690f9af747c700b7e4db288452d78e6c09bc1bd,e6f79e638202cb8583ec9640176776fa6dc3ddfb1df661e925a5b064029c8652,9e422ab1f557e5274c8c5a288310b2a401518de6465f7bef63b547dfa34c645a,56dfa726e07260290a8d9bd5f9553bedef06c396ca7a2a1c14537ab134f1b661,42ef48b05a6df873c8625f632e53ce4fe584cf13f038f1c9ee6965bc3e739f7f,e7ea19cb04a7f80155352d849e3d8316e00f9ad70d1d12c4e534bd360491cd32,success,passed,false,1.2101617041793133e-08,1.7114270947149228e-08,1.7114270889351246e-08,1.2101617041793133e-08,True,True,steady_execution_v1,1.7616867100005038,0.44250915500015253,0.009274920001189457,2.213470785001846,0.7410761320000001,0.089513504,0.15435411100000002,380864,4532096,0.014653957994596567,,,,,,,0.16491617399515235,1.6937867130000086,0.11183922196505591,0.04212939197168453,0.006353635995765217,0.0052909469850419555,0.002924209005868761,0.0,0.0008983269726741128,,,,,,1,1,1,8,1,1,physical_hardware,packed_operation_v1,True,True,True,True,True,False,False,True,True,True,0.9782850227871034,1.0,1.0,64,64,"[[0,0]]",[0],"[""/dev/dpu_rank1""]"
training,measurement,edc_18q:1dpu_t8,edc_18q,1dpu_t8,35308513a5e2881780ad0f4c9f36ff58b8f7e9e1ac95b1c3b567dbad46fa26bd,path_35308513a5e2881780ad0f4c9f36ff58b8f7e9e1ac95b1c3b567dbad46fa26bd,1dpu_t8,2,1,33,4a4392ed89a79bdd704b971f3c9ddd12e02eb75c043bb0f133e52fcc2eef9b1c,b64455ef-eae7-412d-a8fc-3e75ab6bfe97,424886cb45ecf2f43b304da76c7333b4720fb882066e04025593821f1eba1e04,8b6ebfbd-1c06-4fb1-b4bf-4d072212375d,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,d452106e697890439cfc94fdabfb6a80fb0fccc2,5269bfea2a1777b041e10edf9618ba613d44021ce89b3ff0d95093a81c095b65,ae9ef515059d52d7d85bbddc07c49cabd745c0f6e8e6aea4ffb9ca2d19553eb9,e6326a5da55f304b3234ce37519f34799d0f61696dfc2f64c315515bb2220775,d420d48630c4027c823141769690f9af747c700b7e4db288452d78e6c09bc1bd,e6f79e638202cb8583ec9640176776fa6dc3ddfb1df661e925a5b064029c8652,9e422ab1f557e5274c8c5a288310b2a401518de6465f7bef63b547dfa34c645a,56dfa726e07260290a8d9bd5f9553bedef06c396ca7a2a1c14537ab134f1b661,42ef48b05a6df873c8625f632e53ce4fe584cf13f038f1c9ee6965bc3e739f7f,e7ea19cb04a7f80155352d849e3d8316e00f9ad70d1d12c4e534bd360491cd32,success,passed,false,1.2101617041793133e-08,1.7114270947149228e-08,1.7114270889351246e-08,1.2101617041793133e-08,True,True,steady_execution_v1,1.7727015199998277,0.43816341500132694,0.005979967998428037,2.2168449029995827,0.7417464010000001,0.08906434899999999,0.154489816,380864,4532096,0.015358452998043504,,,,,,,0.16799767700285884,1.7044712329916365,0.11303988098734408,0.042530278929916676,0.006443846021284116,0.005317882962117437,0.0029656419792445377,0.0,0.0009114539934671484,,,,,,1,1,1,8,1,1,physical_hardware,packed_operation_v1,True,True,True,True,True,False,False,True,True,True,0.9782850227871034,1.0,1.0,64,64,"[[0,0]]",[0],"[""/dev/dpu_rank1""]"
training,measurement,edc_18q:1dpu_t8,edc_18q,1dpu_t8,35308513a5e2881780ad0f4c9f36ff58b8f7e9e1ac95b1c3b567dbad46fa26bd,path_35308513a5e2881780ad0f4c9f36ff58b8f7e9e1ac95b1c3b567dbad46fa26bd,1dpu_t8,3,2,42,40766196885f3c17a3ab598584a423df450e86b3636c53445312709f9f5cf4e8,88d01f11-91af-48ac-ba68-283fd681c8fb,424886cb45ecf2f43b304da76c7333b4720fb882066e04025593821f1eba1e04,8b6ebfbd-1c06-4fb1-b4bf-4d072212375d,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,d452106e697890439cfc94fdabfb6a80fb0fccc2,5269bfea2a1777b041e10edf9618ba613d44021ce89b3ff0d95093a81c095b65,ae9ef515059d52d7d85bbddc07c49cabd745c0f6e8e6aea4ffb9ca2d19553eb9,e6326a5da55f304b3234ce37519f34799d0f61696dfc2f64c315515bb2220775,d420d48630c4027c823141769690f9af747c700b7e4db288452d78e6c09bc1bd,e6f79e638202cb8583ec9640176776fa6dc3ddfb1df661e925a5b064029c8652,9e422ab1f557e5274c8c5a288310b2a401518de6465f7bef63b547dfa34c645a,56dfa726e07260290a8d9bd5f9553bedef06c396ca7a2a1c14537ab134f1b661,42ef48b05a6df873c8625f632e53ce4fe584cf13f038f1c9ee6965bc3e739f7f,e7ea19cb04a7f80155352d849e3d8316e00f9ad70d1d12c4e534bd360491cd32,success,passed,false,1.2101617041793133e-08,1.7114270947149228e-08,1.7114270889351246e-08,1.2101617041793133e-08,True,True,steady_execution_v1,1.7499405020025733,0.44268226100030006,0.005663361000188161,2.1982861240030616,0.739573221,0.088386703,0.152669122,380864,4532096,0.01517900800172356,,,,,,,0.16393996202532435,1.6823734099998546,0.11101474096722086,0.04183494499011431,0.006355054047162412,0.00532789999851957,0.0029065730268484913,0.0,0.0008860919806465972,,,,,,1,1,1,8,1,1,physical_hardware,packed_operation_v1,True,True,True,True,True,False,False,True,True,True,0.9782850227871034,1.0,1.0,64,64,"[[0,0]]",[0],"[""/dev/dpu_rank1""]"
training,warmup,edc_18q:1dpu_t8,edc_18q,1dpu_t8,8e7637420b811e01ff5b5f6a53cc2a05e9c066f7de21cf7a9b24566ed936594c,path_8e7637420b811e01ff5b5f6a53cc2a05e9c066f7de21cf7a9b24566ed936594c,1dpu_t8,0,0,7,d5a727c8d37358918fbba46752debc3ef57c8d92b658ec876544099e695f0938,0d06d3c5-05ca-4ef4-a7fc-39d546f9ecbe,424886cb45ecf2f43b304da76c7333b4720fb882066e04025593821f1eba1e04,8b6ebfbd-1c06-4fb1-b4bf-4d072212375d,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,d452106e697890439cfc94fdabfb6a80fb0fccc2,5269bfea2a1777b041e10edf9618ba613d44021ce89b3ff0d95093a81c095b65,ae9ef515059d52d7d85bbddc07c49cabd745c0f6e8e6aea4ffb9ca2d19553eb9,e6326a5da55f304b3234ce37519f34799d0f61696dfc2f64c315515bb2220775,d420d48630c4027c823141769690f9af747c700b7e4db288452d78e6c09bc1bd,a2c955fe3a61a768dac1274db6b3e48d6709df6b0d5851d3467de9974ca2a004,23c8069d1a6aff11333d4bb77398b782cbf8f343642c1a725a0d019af3bce5b7,56dfa726e07260290a8d9bd5f9553bedef06c396ca7a2a1c14537ab134f1b661,42ef48b05a6df873c8625f632e53ce4fe584cf13f038f1c9ee6965bc3e739f7f,e7ea19cb04a7f80155352d849e3d8316e00f9ad70d1d12c4e534bd360491cd32,success,passed,false,1.2101617041793133e-08,1.7114270947149228e-08,1.7114270889351246e-08,1.2101617041793133e-08,True,True,steady_execution_v1,1.6307902660009859,0.09940208600164624,0.006367048001266085,1.7365594000038982,0.6405052010000001,0.094550079,0.15749270199999998,349408,4497184,0.01494281799386954,,,,,,,0.14067755100040813,1.568397470007767,0.09318729197548237,0.03465601192510803,0.005049614053859841,0.004332479977165349,0.002105248004227178,0.0,0.0007568139662907925,,,,,,1,1,1,8,1,1,physical_hardware,packed_operation_v1,True,True,True,True,True,False,False,True,True,True,0.9992858263728895,1.0,1.0,68,68,"[[0,0]]",[0],"[""/dev/dpu_rank1""]"
training,measurement,edc_18q:1dpu_t8,edc_18q,1dpu_t8,8e7637420b811e01ff5b5f6a53cc2a05e9c066f7de21cf7a9b24566ed936594c,path_8e7637420b811e01ff5b5f6a53cc2a05e9c066f7de21cf7a9b24566ed936594c,1dpu_t8,1,0,14,12d5a2eab16466aefb349cae97fc0abb8ac83f7a4ec0feedaa9ffc7620268839,4c320095-dd10-41a1-911c-110484e67bdc,424886cb45ecf2f43b304da76c7333b4720fb882066e04025593821f1eba1e04,8b6ebfbd-1c06-4fb1-b4bf-4d072212375d,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,d452106e697890439cfc94fdabfb6a80fb0fccc2,5269bfea2a1777b041e10edf9618ba613d44021ce89b3ff0d95093a81c095b65,ae9ef515059d52d7d85bbddc07c49cabd745c0f6e8e6aea4ffb9ca2d19553eb9,e6326a5da55f304b3234ce37519f34799d0f61696dfc2f64c315515bb2220775,d420d48630c4027c823141769690f9af747c700b7e4db288452d78e6c09bc1bd,a2c955fe3a61a768dac1274db6b3e48d6709df6b0d5851d3467de9974ca2a004,23c8069d1a6aff11333d4bb77398b782cbf8f343642c1a725a0d019af3bce5b7,56dfa726e07260290a8d9bd5f9553bedef06c396ca7a2a1c14537ab134f1b661,42ef48b05a6df873c8625f632e53ce4fe584cf13f038f1c9ee6965bc3e739f7f,e7ea19cb04a7f80155352d849e3d8316e00f9ad70d1d12c4e534bd360491cd32,success,passed,false,1.2101617041793133e-08,1.7114270947149228e-08,1.7114270889351246e-08,1.2101617041793133e-08,True,True,steady_execution_v1,1.6161688229985884,0.10741309999866644,0.006560711000929587,1.7301426339981845,0.641695681,0.09498304099999999,0.15779908399999998,349408,4497184,0.014360586985276313,,,,,,,0.13712735301669454,1.5571868519728014,0.0913977529744443,0.034550026950455504,0.00486422304311418,0.004193273955024779,0.0020519639656413347,0.0,0.0007307859996217303,,,,,,1,1,1,8,1,1,physical_hardware,packed_operation_v1,True,True,True,True,True,False,False,True,True,True,0.9992858263728895,1.0,1.0,68,68,"[[0,0]]",[0],"[""/dev/dpu_rank1""]"
training,measurement,edc_18q:1dpu_t8,edc_18q,1dpu_t8,8e7637420b811e01ff5b5f6a53cc2a05e9c066f7de21cf7a9b24566ed936594c,path_8e7637420b811e01ff5b5f6a53cc2a05e9c066f7de21cf7a9b24566ed936594c,1dpu_t8,2,1,17,11ffff3f53d7dc9f3e41032d31749463a4e2037ff36be6deab9c3d0cf72ebad8,5992f232-902c-4d2e-8624-d6930d0b65ae,424886cb45ecf2f43b304da76c7333b4720fb882066e04025593821f1eba1e04,8b6ebfbd-1c06-4fb1-b4bf-4d072212375d,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,d452106e697890439cfc94fdabfb6a80fb0fccc2,5269bfea2a1777b041e10edf9618ba613d44021ce89b3ff0d95093a81c095b65,ae9ef515059d52d7d85bbddc07c49cabd745c0f6e8e6aea4ffb9ca2d19553eb9,e6326a5da55f304b3234ce37519f34799d0f61696dfc2f64c315515bb2220775,d420d48630c4027c823141769690f9af747c700b7e4db288452d78e6c09bc1bd,a2c955fe3a61a768dac1274db6b3e48d6709df6b0d5851d3467de9974ca2a004,23c8069d1a6aff11333d4bb77398b782cbf8f343642c1a725a0d019af3bce5b7,56dfa726e07260290a8d9bd5f9553bedef06c396ca7a2a1c14537ab134f1b661,42ef48b05a6df873c8625f632e53ce4fe584cf13f038f1c9ee6965bc3e739f7f,e7ea19cb04a7f80155352d849e3d8316e00f9ad70d1d12c4e534bd360491cd32,success,passed,false,1.2101617041793133e-08,1.7114270947149228e-08,1.7114270889351246e-08,1.2101617041793133e-08,True,True,steady_execution_v1,1.6251100310000766,0.09824569900229108,0.005721846002415987,1.7290775760047836,0.6398658450000001,0.094833739,0.158206108,349408,4497184,0.014447386995016132,,,,,,,0.13906743096958962,1.565586898010224,0.09335750203536008,0.034874418983235955,0.004990863009879831,0.004366418012068607,0.0021811500009789597,0.0,0.0007562249957118183,,,,,,1,1,1,8,1,1,physical_hardware,packed_operation_v1,True,True,True,True,True,False,False,True,True,True,0.9992858263728895,1.0,1.0,68,68,"[[0,0]]",[0],"[""/dev/dpu_rank1""]"
training,measurement,edc_18q:1dpu_t8,edc_18q,1dpu_t8,8e7637420b811e01ff5b5f6a53cc2a05e9c066f7de21cf7a9b24566ed936594c,path_8e7637420b811e01ff5b5f6a53cc2a05e9c066f7de21cf7a9b24566ed936594c,1dpu_t8,3,2,16,04042431564af326da068911637a6720d297e853c9bb692d9974d2e84f7285bd,9511fbce-c22c-4f6c-8d13-b9149891e99b,424886cb45ecf2f43b304da76c7333b4720fb882066e04025593821f1eba1e04,8b6ebfbd-1c06-4fb1-b4bf-4d072212375d,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,68bde98e0696765cd5def2f8b41b686c6a2ffcb0,d452106e697890439cfc94fdabfb6a80fb0fccc2,5269bfea2a1777b041e10edf9618ba613d44021ce89b3ff0d95093a81c095b65,ae9ef515059d52d7d85bbddc07c49cabd745c0f6e8e6aea4ffb9ca2d19553eb9,e6326a5da55f304b3234ce37519f34799d0f61696dfc2f64c315515bb2220775,d420d48630c4027c823141769690f9af747c700b7e4db288452d78e6c09bc1bd,a2c955fe3a61a768dac1274db6b3e48d6709df6b0d5851d3467de9974ca2a004,23c8069d1a6aff11333d4bb77398b782cbf8f343642c1a725a0d019af3bce5b7,56dfa726e07260290a8d9bd5f9553bedef06c396ca7a2a1c14537ab134f1b661,42ef48b05a6df873c8625f632e53ce4fe584cf13f038f1c9ee6965bc3e739f7f,e7ea19cb04a7f80155352d849e3d8316e00f9ad70d1d12c4e534bd360491cd32,success,passed,false,1.2101617041793133e-08,1.7114270947149228e-08,1.7114270889351246e-08,1.2101617041793133e-08,True,True,steady_execution_v1,1.6168417129993031,0.1046103150001727,0.007311522000236437,1.7287635499997123,0.642364205,0.09434598900000002,0.1551369,349408,4497184,0.01453491599750123,,,,,,,0.13796161902791937,1.5563059539999813,0.09133077499063802,0.03429292401051498,0.0049535009638930205,0.00425164799526101,0.002088117031235015,0.0,0.0007410909965983592,,,,,,1,1,1,8,1,1,physical_hardware,packed_operation_v1,True,True,True,True,True,False,False,True,True,True,0.9992858263728895,1.0,1.0,68,68,"[[0,0]]",[0],"[""/dev/dpu_rank1""]"
